Ticker,Sinal,Tipo,Preço,POI,POI Preço,Zona,SL,TP1,RR,Dist. POI,Nota MTF
RZTR11,bear,CHOCH,86.1,OB (MT),91.61,premium,92.26,76.69,22.95,-6.0%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
ABEV3,bull,BOS,15.03,OB (MT),14.4,discount,14.27,17.69,25.31,+4.4%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
SMTO3,bear,CHOCH,19.75,OB (MT),20.9,premium,21.42,11.67,17.75,-5.5%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
SLCE3,bear,BOS,16.07,OB (MT),19.27,premium,19.5,10.7,37.26,-16.6%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
CPTS11,bear,BOS,7.47,OB (MT),7.66,premium,7.69,6.92,24.67,-2.5%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
FRAS3,bear,BOS,23.02,OB (MT),24.66,premium,25.15,18.55,12.47,-6.7%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
CSNA3,bear,BOS,5.32,OB (MT),5.69,premium,5.88,3.73,10.32,-6.5%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
CPFE3,bear,CHOCH,44.54,OB (MT),47.36,premium,47.93,38.16,16.14,-6.0%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
AZUL3,bull,BOS,18.8,OB (MT),7.34,discount,6.76,41910917.55,72260190.02,+156.1%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
HBOR3,bear,BOS,2.16,OB (MT),2.46,premium,2.54,1.45,12.62,-12.2%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
WEGE3,bear,BOS,50.15,OB (MT),53.64,premium,54.34,40.4,18.91,-6.5%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
MULT3,bear,BOS,27.92,OB (MT),29.05,premium,29.43,25.56,9.18,-3.9%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
BBAS3,bear,BOS,20.74,OB (MT),21.27,premium,21.61,17.25,11.82,-2.5%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
MGLU3,bear,BOS,4.81,OB (MT),5.1,premium,5.28,3.63,8.17,-5.7%,Aguardar CHOCH interno LTF no M15 para confirmar absorção
